normalX,normalY,normalZ,percentageOfTotal,normalizedHeightBoundingBox,normalizedZaverage,attachment,label
0.002517,0.999992,-0.003134,0.157443,1.0,0.522346,0.285714,1
0.999902,0.011637,-0.007784,0.205029,0.998403,0.467242,0.571429,1
0.022244,-0.01544,0.999633,0.144989,0.0,0.025334,0.571429,0
-0.002925,0.003315,-0.99999,0.24439,0.047909,0.948046,1.0,2
0.999972,-0.006563,0.003517,0.115968,0.933814,0.509559,0.857143,1
0.000816,-0.999994,-0.003472,0.007872,0.698942,0.630296,0.428571,1
-0.001081,-0.005843,0.999982,0.032781,0.026369,0.305541,0.0,3
-0.01123,0.999656,-0.023715,0.066385,0.919035,0.503072,0.571429,0
-0.010083,-0.027001,0.999585,0.012337,0.00855,0.939983,0.571429,2
-0.002688,-0.016689,0.999857,0.012807,0.007536,0.058161,0.571429,1
-0.00702,0.999924,-0.010175,0.18123,0.983612,0.618171,0.666667,1
0.031392,0.999499,-0.004143,0.063107,1.0,0.313489,1.0,1
0.009984,-0.029344,-0.99952,0.19293,0.0,0.966592,0.5,2
-0.021671,0.003889,0.999758,0.174259,0.001843,0.031361,0.333333,0
-0.999737,0.020643,0.00994,0.112148,0.891496,0.538767,0.5,1
-0.002747,-0.999815,0.019049,0.141399,0.850715,0.518705,0.333333,1
-0.99918,0.034427,-0.02131,0.07294,0.864648,0.593806,0.166667,1
0.994028,-0.105613,0.027452,0.010207,0.625249,0.543579,0.833333,1
-0.041122,-0.006616,0.999132,0.030122,0.081818,0.304668,0.5,3
-0.0658,-0.009195,0.99779,0.009833,0.061429,0.345626,0.333333,3
0.93034,-0.363963,0.044697,0.003983,0.470314,0.663846,0.0,3
-0.984372,0.072706,-0.160392,0.007842,0.303252,0.262377,0.0,3
-0.006087,0.003729,0.999975,0.331287,0.0,0.007236,0.2,0
0.003464,-0.999991,-0.002368,0.19309,0.93264,0.38449,0.2,1
-0.00075,-0.006492,-0.999979,0.062959,0.03777,0.196765,0.4,3
0.999675,-0.016628,0.019305,0.064163,0.609848,0.336725,0.4,1
0.014596,0.999838,-0.010489,0.102083,0.579726,0.30419,1.0,1
0.999852,0.014873,-0.00865,0.169977,1.0,0.433787,0.2,1
-0.92937,0.367366,-0.036242,0.035753,0.994821,0.419832,0.0,3
0.999942,-0.01048,-0.002629,0.026002,0.965792,0.768696,0.4,1
-0.999155,-0.038949,0.01309,0.010473,0.942047,0.368855,0.6,1
0.571286,-0.800961,0.179148,0.004213,0.107383,0.103589,0.0,3
0.000475,-0.999992,0.003938,0.368532,1.0,0.492607,0.714286,1
-0.033317,-0.999419,0.007197,0.146637,0.967433,0.481404,1.0,3
0.000172,-0.999999,0.001387,0.216369,0.979566,0.472419,0.714286,1
0.006183,0.023108,-0.999714,0.120414,0.0,0.019821,1.0,0
0.002415,-0.02017,-0.999794,0.05468,0.017953,0.012583,0.285714,0
-0.00457,0.01059,0.999933,0.072437,0.007917,0.981678,0.714286,2
-0.717886,-0.696153,-0.003396,0.010113,0.863297,0.480746,0.0,3
0.920931,-0.389385,0.016291,0.010818,0.732397,0.453618,0.0,3
0.014567,0.998911,0.044329,0.211149,1.0,0.466217,0.8,1
0.027782,0.035993,-0.998966,0.164039,0.064463,0.053452,1.0,0
0.029709,0.023953,-0.999272,0.127346,0.035437,0.966813,0.2,2
-0.049133,0.005738,0.998776,0.052553,0.064359,0.058307,0.8,0
0.059075,0.020113,-0.998051,0.036505,0.070713,0.937412,0.8,2
-0.998089,0.025853,-0.056119,0.11083,0.690501,0.448108,0.4,1
-0.998144,0.058529,-0.016791,0.040447,0.893072,0.402284,0.6,1
-0.031644,-0.999234,-0.023006,0.063626,0.890827,0.476965,0.6,1
0.040229,0.999182,0.004062,0.025807,0.844803,0.451748,0.0,1
0.997531,-0.069575,0.009527,0.009666,0.661745,0.496738,0.6,1
-0.003891,-0.994052,-0.108839,0.00732,0.76241,0.229899,0.0,1
-0.997444,0.022256,-0.067896,0.033784,0.84412,0.563173,0.2,1
-0.016095,0.010269,0.999818,0.006475,0.0,0.046229,0.8,0
0.044133,0.033714,-0.998457,0.064283,0.092221,0.236773,0.2,3
0.09365,0.112062,-0.989278,0.023742,0.146988,0.175046,0.4,3
-0.183681,0.97238,-0.144007,0.009384,0.663621,0.258791,0.2,3
0.615233,0.00492,-0.78833,0.013044,0.234959,0.166859,0.2,3
0.998615,-0.052571,-0.002262,0.172058,0.950533,0.473673,0.0,1
0.005691,-0.014344,0.999881,0.154064,0.062155,0.903726,1.0,2
-0.053732,-0.998549,-0.003591,0.075212,0.896189,0.38528,0.2,1
-0.999241,0.037034,0.012042,0.101193,0.927638,0.398161,0.6,1
-0.000303,-0.00465,-0.999989,0.119794,0.005798,0.011736,1.0,0
0.996884,-0.078879,-0.000514,0.064497,1.0,0.378053,0.2,1
0.064795,0.997874,-0.006989,0.033866,0.857571,0.449645,0.2,1
-0.075162,-0.997147,0.0069,0.107562,0.90874,0.465438,0.8,1
0.082817,-0.050344,-0.995292,0.045997,0.136594,0.174952,0.6,3
-0.01451,-0.009469,-0.99985,0.0093,0.0,0.032032,0.4,0
-0.263803,0.932508,-0.246653,0.010008,0.573249,0.371172,0.0,3
0.507348,-0.861697,-0.008704,0.018601,0.981015,0.490728,0.8,1
-0.021712,0.019507,-0.999574,0.064193,0.079795,0.202615,0.4,3
-0.033167,0.015433,-0.999331,0.004852,0.002142,0.888937,1.0,2
0.6253,0.779984,0.024974,0.009402,0.733895,0.553907,0.4,1
-0.971039,0.23499,0.043148,0.00465,0.99884,0.34348,0.2,3
-0.996805,0.076348,-0.023488,0.004751,0.433052,0.465979,0.0,1
-0.99957,-0.029328,0.000546,0.072457,0.78322,0.371528,0.0,1
-0.999475,0.029037,-0.014377,0.134112,0.895222,0.666888,0.0,1
0.003682,0.056178,0.998414,0.05467,0.040255,0.206693,0.0,3
0.999859,0.010022,0.013501,0.121126,0.891624,0.409653,1.0,1
-0.003469,-0.055716,-0.998441,0.138258,0.015099,0.042396,0.333333,0
-0.041386,-0.998545,0.034572,0.111523,0.943724,0.561388,0.333333,1
-0.006949,0.998339,-0.05719,0.080423,0.949209,0.524161,0.333333,1
0.999484,0.021964,0.023438,0.037211,1.0,0.482803,0.333333,1
-0.010345,-0.049093,-0.998741,0.0622,0.0,0.976975,1.0,2
-0.009601,0.998336,-0.056866,0.051615,0.875169,0.471848,0.333333,1
0.014364,-0.142019,-0.98976,0.078896,0.163396,0.730415,1.0,2
-0.091142,-0.022316,-0.995588,0.017351,0.087693,0.706792,1.0,3
0.013867,0.046139,0.998839,0.022916,0.023839,0.72305,0.333333,2
-0.998714,0.028124,0.042186,0.011567,0.609515,0.753375,0.0,3
0.999878,-0.011318,0.010746,0.005674,0.305666,0.392937,0.666667,1
0.999407,-0.015091,0.030951,0.183224,0.983275,0.656983,0.75,1
-0.004767,0.053205,0.998572,0.183683,0.046006,0.048615,1.0,0
-0.026442,0.025222,0.999332,0.310118,0.0,0.948565,0.5,2
-0.99634,-0.079119,-0.032356,0.159345,0.899681,0.588857,1.0,1
0.993759,0.111258,0.008096,0.045921,0.92998,0.490855,0.0,1
-0.100797,0.994899,0.003994,0.020511,0.519049,0.767644,0.5,1
-0.991554,-0.125709,-0.031898,0.049288,1.0,0.278225,0.0,3
-0.07452,0.994515,-0.073389,0.047911,0.857652,0.569433,0.25,1
-0.993666,-0.112105,-0.007822,0.153761,1.0,0.546148,0.25,1
0.070447,-0.090429,-0.993408,0.168142,0.215421,0.927246,0.5,3
-0.00579,0.009615,0.999937,0.101632,0.044866,0.937808,0.5,2
0.007166,-0.027639,-0.999592,0.136615,0.046793,0.031919,0.5,0
0.089485,-0.995104,0.041963,0.115597,0.831606,0.543923,0.25,1
0.13239,-0.988901,0.067442,0.016731,0.790956,0.414147,0.25,3
-0.98814,-0.127273,-0.085911,0.048949,0.869159,0.325223,1.0,3
0.996729,0.067949,0.043755,0.052959,0.889112,0.59906,0.25,1
0.013426,0.021936,0.999669,0.055863,0.049466,0.292374,0.0,3
-0.980646,-0.18966,-0.048598,0.054065,0.804845,0.534109,0.75,3
-0.003172,-0.060124,-0.998186,0.013413,0.0,0.030179,0.75,0
-0.987623,-0.156796,-0.004098,0.055725,0.870859,0.443943,1.0,3
-0.005654,0.996608,-0.082096,0.008988,0.828579,0.521166,0.5,3
0.989546,0.138285,0.040935,0.017561,0.776897,0.576628,1.0,3